id,datetime,subject,attendees,
20,2025-11-20T08:00:00,4,,
1,2025-09-20T08:00:00,1,1_2_14_7_8_9_11_13_17_18_19_20,
2,2025-09-27T08:00:00,1,1_2_14_9_11_13_17_18_19_20,
3,2025-10-03T08:00:00,1,1_2_14_7_8_918_19_20,
4,2025-10-10T08:00:00,1,1_2_17_18_19_20,
5,2025-10-17T08:00:00,1,111_13_17_18_19_20,
6,2025-10-24T08:00:00,1,1_2_14_7_8_9_11,
7,2025-09-20T08:00:00,2,3_4_5_8_12_15_16,
8,2025-09-27T08:00:00,2,3_4,
9,2025-10-03T08:00:00,2,8_12_15_16,
10,2025-10-10T08:00:00,2,3_4_15_16,
11,2025-10-17T08:00:00,2,3_4_5_8_12_15_16,
12,2025-09-24T08:00:00,3,6_10_2_3_7_12_16_19_20,
13,2025-10-01T08:00:00,3,16_19_20,
14,2025-10-08T08:00:00,4,14_1_6_10_18,
15,2025-10-15T08:00:00,4,14_6_10_18,
16,2025-10-22T08:00:00,4,14_1_6_18,
17,2025-10-29T08:00:00,4,14_6_10_18,
18,2025-11-06T08:00:00,4,14,
19,2025-11-13T08:00:00,4,,
